,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
122,2023-03-01,5447503.667440967,250_155,3940945.16,5597480.0
123,2023-04-01,6915783.11976609,250_155,3402514.8,7539094.0
124,2023-05-01,7456017.443834007,250_155,5102570.959999999,7872216.0
125,2023-06-01,9313936.531957652,250_155,7775198.39,9566028.0
126,2023-07-01,7179150.961957652,250_155,7465892.709999999,5706559.0
127,2023-08-01,8048208.740024441,250_155,1512449.5999999999,5356667.0
128,2023-09-01,9354697.559422066,250_155,,11681144.0
129,2023-10-01,13484367.260024441,250_155,,19007432.0
130,2023-11-01,11329755.028882671,250_155,,15204628.0
131,2023-12-01,6075961.7067734245,250_155,,8479907.0
132,2023-01-01,23715.09309295629,250_165,-2676.4388415322846,44682.0
133,2023-02-01,18116.326436496714,250_165,-26077.655298870814,43345.0
134,2023-03-01,21382.879251018127,250_165,4612.897547683965,43345.0
135,2023-04-01,23610.752977377026,250_165,71894.3372427524,48558.0
136,2023-05-01,23941.323214674998,250_165,61415.92658509502,51334.0
137,2023-06-01,23982.905576818983,250_165,85823.00459105549,57321.0
138,2023-07-01,23963.869513899917,250_165,71346.73336019742,43424.0
139,2023-08-01,23949.129069297458,250_165,-35969.279073951955,43345.0
140,2023-09-01,23943.97684473077,250_165,,43345.0
141,2023-10-01,23943.164178530646,250_165,,47260.0
142,2023-11-01,23943.38122628567,250_165,,60919.0
143,2023-12-01,23943.59055449638,250_165,,43578.0
144,2023-01-01,365263.43187428074,250_310,182222.0793261482,354587.0
145,2023-02-01,361181.23897055234,250_310,210454.73319187443,393009.0
146,2023-03-01,386820.3510656717,250_310,168508.5903403306,519049.0
147,2023-04-01,399852.6278962297,250_310,218007.09583283874,535490.0
148,2023-05-01,389032.5606930181,250_310,229656.41761772183,408393.0
149,2023-06-01,469792.49864458485,250_310,1108604.9006633763,521029.0
150,2023-07-01,405104.09641547344,250_310,201632.07090723145,330669.0
151,2023-08-01,413513.44345096167,250_310,366036.7840043804,317266.0
152,2023-09-01,393939.4568121654,250_310,,531251.0
153,2023-10-01,1341205.5971521053,250_310,,1250166.0
154,2023-11-01,674288.9783282144,250_310,,658167.0
155,2023-12-01,359142.50469751965,250_310,,249998.0
156,2023-01-01,3525.919915219247,260_155,2915.0,2800.0
157,2023-02-01,4136.189416205612,260_155,3338.9900000000007,2800.0
158,2023-03-01,5182.756668704181,260_155,6141.58,2800.0
159,2023-04-01,4607.650651827273,260_155,3216.719999999999,2800.0
160,2023-05-01,4692.95702766454,260_155,4063.0999999999995,2800.0
161,2023-06-01,5162.765274159766,260_155,2607.6099999999997,2800.0
162,2023-07-01,4841.911527635871,260_155,2526.1099999999997,2800.0
163,2023-08-01,4484.553220783,260_155,18100.43,2800.0
164,2023-09-01,4823.1500679063365,260_155,,2800.0
165,2023-10-01,5483.931461395826,260_155,,2800.0
166,2023-11-01,5356.929064449193,260_155,,2800.0
167,2023-12-01,6314.271553526693,260_155,,2800.0
