,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
32,2023-09-01,2824246.612120071,200_155,103568.07,3728896.0
33,2023-10-01,1397778.4367197943,200_155,,1980287.0
34,2023-11-01,3449623.240271492,200_155,,4806032.0
35,2023-12-01,4012315.41965953,200_155,,4178062.0
36,2023-01-01,256030.92256364936,200_310,182779.60735109606,277530.0
37,2023-02-01,214469.13372614657,200_310,178552.07710699335,313641.0
38,2023-03-01,223613.56500230377,200_310,226862.7697974217,259441.0
39,2023-04-01,329257.010598361,200_310,222637.23372781058,346038.0
40,2023-05-01,244703.25427133418,200_310,296710.88560885616,262986.0
41,2023-06-01,277307.7746237157,200_310,175656.0050011032,290286.0
42,2023-07-01,222956.58945814744,200_310,201365.8917654164,229854.0
43,2023-08-01,256803.0613356484,200_310,176432.86048441858,262730.0
44,2023-09-01,262928.20126230473,200_310,5846.552361244548,400874.0
45,2023-10-01,216009.6956961483,200_310,,274206.0
46,2023-11-01,293014.4338187608,200_310,,479747.0
47,2023-12-01,330783.56695097586,200_310,,550468.0
48,2023-01-01,2777370.820851652,210_155,4061428.53,6510150.0
49,2023-02-01,3141691.19784015,210_155,6204353.869999999,4631525.0
50,2023-03-01,6735270.861346077,210_155,5973971.859999999,6887883.0
51,2023-04-01,10700731.807899365,210_155,5560797.289999999,7108739.0
52,2023-05-01,2512129.9614702747,210_155,4008775.4300000006,5308974.0
53,2023-06-01,2640013.5357466736,210_155,2741890.2399999993,5559823.0
54,2023-07-01,2540064.9251436107,210_155,3197587.39,5004554.0
55,2023-08-01,3074395.955744686,210_155,2499405.0799999996,5812184.0
56,2023-09-01,5547693.369349184,210_155,200400.86000000002,5786571.0
57,2023-10-01,3321835.831724278,210_155,,5239358.0
58,2023-11-01,9837092.381701814,210_155,,7036356.0
59,2023-12-01,3387228.826560335,210_155,,4009407.0
60,2023-01-01,290378.06556644576,210_165,91654.86956968207,220798.0
61,2023-02-01,343859.9231376485,210_165,206148.80014498284,338659.0
62,2023-03-01,399339.71957731614,210_165,1264241.3405994666,193983.0
63,2023-04-01,491054.1817052965,210_165,570261.6989378147,786089.0
64,2023-05-01,338742.8259844322,210_165,1098155.347052289,526626.0
65,2023-06-01,313313.77462009544,210_165,233968.0286799286,562406.0
66,2023-07-01,279679.835493327,210_165,343494.106207403,537277.0
67,2023-08-01,450215.90123471204,210_165,616485.4351346496,450948.0
68,2023-09-01,433517.67981159594,210_165,244664.5923003367,538232.0
69,2023-10-01,376293.9911681178,210_165,,795803.0
70,2023-11-01,515606.0758023942,210_165,,580290.0
71,2023-12-01,423553.093296783,210_165,,537239.0
72,2023-01-01,617300.0960808612,210_310,-174973.31892833326,355862.0
73,2023-02-01,619822.9038743718,210_310,487324.4934010755,464085.0
74,2023-03-01,613794.1329245268,210_310,-2518.8564736651897,490025.0
75,2023-04-01,939686.6968882586,210_310,1184231.2908076919,907541.0
76,2023-05-01,813883.4151796406,210_310,2030026.428044281,502114.0
77,2023-06-01,2154099.1943878974,210_310,1310083.4522321096,1877694.0
78,2023-07-01,767637.7594291955,210_310,107516.8578005884,489226.0
79,2023-08-01,562897.2428108472,210_310,-1106492.0018109097,471029.0
80,2023-09-01,687330.842317287,210_310,-12663.823811987282,2612354.0
81,2023-10-01,774754.924434337,210_310,,1948693.0
82,2023-11-01,960319.1125617683,210_310,,917649.0
83,2023-12-01,800964.8750773853,210_310,,987538.0
84,2023-01-01,2495693.3971949783,220_155,383548.0799999999,571537.0
85,2023-02-01,1048489.2675092602,220_155,-152305.69,232217.0
86,2023-03-01,1190858.8218534272,220_155,399579.35000000003,750950.0
87,2023-04-01,1013299.6696085511,220_155,2702366.44,109094.0
88,2023-05-01,949511.2174306007,220_155,1286710.9700000002,673519.0
89,2023-06-01,932765.6113120886,220_155,98452.84999999999,212390.0
90,2023-07-01,1418530.028796014,220_155,1561945.4100000001,33860.0
91,2023-08-01,969898.673072761,220_155,225854.95,2515985.0
92,2023-09-01,847245.1105659852,220_155,401940.98000000004,449519.0
93,2023-10-01,1472778.5356710935,220_155,,3600383.0
94,2023-11-01,1209733.2568417224,220_155,,2035012.0
95,2023-12-01,917446.9906319546,220_155,,130069.0
96,2023-01-01,0.0,220_310,34080.109233153744,114912.0
97,2023-02-01,0.0,220_310,-3809.2797369994005,
98,2023-03-01,38347.18930912852,220_310,-14360.6408839779,35095.0
99,2023-04-01,44010.85400090309,220_310,-965.6730769230767,261010.0
100,2023-05-01,29299.39179977008,220_310,76550.80442804428,
101,2023-06-01,50243.02772823383,220_310,-1226.7559020372141,281.0
102,2023-07-01,50243.02772823383,220_310,134507.95531738253,
103,2023-08-01,105064.18798643656,220_310,-4881.3778012525445,
104,2023-09-01,0.0,220_310,-919.2890399822628,276058.0
105,2023-10-01,133910.7468525823,220_310,,
106,2023-11-01,13335.718858599028,220_310,,309389.0
107,2023-12-01,105064.18798643656,220_310,,35473.0
108,2023-01-01,4419420.835609886,240_155,4129765.0700000008,5216550.0
109,2023-02-01,4793733.369471302,240_155,5235253.750000001,5333064.0
