,DEP_ENT,MONTH,NET_SALES
66,260_155,2020-02-01,2131.2499999999995
67,200_310,2018-06-01,250181.1310494835
68,250_310,2016-04-01,460515.8997153662
69,200_155,2018-02-01,1809524.6400000001
70,200_310,2019-09-01,319304.7107438017
71,250_155,2016-08-01,6838040.699999999
72,220_310,2016-11-01,-9460.662834963048
73,220_310,2017-11-01,292983.3893010544
74,200_310,2021-02-01,391050.5830789702
75,250_165,2020-02-01,420.9480839095296
76,220_155,2021-01-01,6238039.24
77,200_155,2019-06-01,1856416.87
78,250_310,2017-12-01,340478.69351162843
79,210_310,2016-12-01,3659366.791734664
80,250_155,2017-07-01,3218368.3799999994
81,210_165,2019-08-01,919804.6760740647
82,240_155,2021-03-01,5677764.130000001
83,250_155,2021-07-01,6556439.0
84,220_155,2020-07-01,4559857.72
85,210_310,2017-03-01,1900607.7572021284
86,210_310,2019-04-01,1250241.7815520095
87,240_155,2017-07-01,4351244.28
88,260_155,2021-08-01,5071.149999999999
89,250_165,2020-12-01,-131606.66566799057
90,200_310,2016-07-01,33025.33838657281
91,220_310,2017-03-01,-36074.95447647953
92,250_155,2017-09-01,8429271.590000002
93,220_155,2020-10-01,-107382.44999999998
94,160_155,2022-06-01,2327011.24
95,250_155,2019-02-01,3969440.2400000007
96,210_165,2019-11-01,864926.9308355022
97,250_155,2022-03-01,5226201.46
98,210_165,2021-08-01,740919.3084865286
99,210_310,2020-12-01,444302.82608314074
100,160_155,2020-01-01,1851173.7899999996
101,250_310,2022-02-01,375292.9617372982
102,250_165,2023-05-01,61415.92658509502
103,210_310,2016-06-01,1430004.182428913
104,240_155,2017-09-01,3529201.2699999996
105,200_155,2021-08-01,2982415.15
106,220_155,2020-12-01,78751.62
107,160_155,2021-11-01,2048084.43
108,200_155,2017-06-01,2115785.29
109,240_155,2017-08-01,3916427.6500000004
110,250_155,2020-06-01,9156027.1
111,260_155,2023-09-01,24282.61
112,220_310,2016-08-01,1008089.7451642611
113,240_155,2020-05-01,2103817.6399999997
114,250_165,2022-12-01,64822.65195670235
115,210_165,2022-11-01,774791.1341352531
116,220_310,2020-07-01,309092.8095482169
117,250_310,2021-10-01,1343923.1378688961
118,210_155,2018-08-01,3147656.1500000004
119,170_155,2023-04-01,3475834.79
120,220_155,2022-06-01,-54804.380000000005
121,210_310,2017-01-01,1891726.8909731975
122,220_155,2016-09-01,166350.67
123,210_310,2019-12-01,934804.0480210937
124,250_165,2022-05-01,25433.041007299766
125,240_155,2019-08-01,4808939.42
126,220_155,2019-07-01,6483317.550000001
127,170_155,2017-10-01,2309005.3899999997
128,250_310,2021-02-01,357653.77379276184
129,170_155,2019-04-01,4253481.260000001
130,220_155,2019-10-01,8006403.010000001
132,250_310,2021-12-01,444982.09026063635
133,250_165,2023-01-01,-2676.438841532284
134,260_155,2021-10-01,4992.09
135,160_155,2017-12-01,2844600.4299999997
