,MONTH,PRED,DEP_ENT,Model,NET_SALES,BUDGET_AMOUNT
50,2023-03-01,3446742.8435,210_155,DecisionTreeRegressor,5973971.86,6887883.0
51,2023-04-01,12636957.6003,210_155,DecisionTreeRegressor,5560797.29,7108739.0
52,2023-05-01,4736779.8905,210_155,DecisionTreeRegressor,4008775.43,5308974.0
53,2023-06-01,7840475.9754,210_155,DecisionTreeRegressor,2741890.2399999998,5559823.0
54,2023-07-01,4467226.0075,210_155,DecisionTreeRegressor,3197587.3899999997,5004554.0
55,2023-08-01,9218883.7518,210_155,DecisionTreeRegressor,,5812184.0
56,2023-09-01,4724029.4921,210_155,DecisionTreeRegressor,,5786571.0
57,2023-10-01,1733530.7789,210_155,DecisionTreeRegressor,,5239358.0
58,2023-11-01,9038220.1103,210_155,DecisionTreeRegressor,,7036356.0
59,2023-12-01,4973408.8875,210_155,DecisionTreeRegressor,,4009407.0
60,2023-01-01,595857.2408,210_165,Exponential Smoothing,91654.86956968202,220798.0
61,2023-02-01,116975.5717,210_165,Exponential Smoothing,206148.8001449829,338659.0
62,2023-03-01,664063.9976,210_165,Exponential Smoothing,1264241.3405994663,193983.0
63,2023-04-01,275128.6914,210_165,Exponential Smoothing,570261.6989378148,786089.0
64,2023-05-01,119992.021,210_165,Exponential Smoothing,1098155.347052289,526626.0
65,2023-06-01,587243.3299,210_165,Exponential Smoothing,233968.02867992854,562406.0
66,2023-07-01,108361.6608,210_165,Exponential Smoothing,343494.10620740295,537277.0
67,2023-08-01,655450.0867,210_165,Exponential Smoothing,,450948.0
68,2023-09-01,266514.7806,210_165,Exponential Smoothing,,538232.0
69,2023-10-01,111378.1102,210_165,Exponential Smoothing,,795803.0
70,2023-11-01,578629.4191,210_165,Exponential Smoothing,,580290.0
71,2023-12-01,99747.75,210_165,Exponential Smoothing,,537239.0
72,2023-01-01,148663.9154,210_310,ARIMA,-174973.31892833335,355862.0
73,2023-02-01,450795.873,210_310,ARIMA,487324.49340107554,464085.0
74,2023-03-01,791185.2269,210_310,ARIMA,-2518.856473665212,490025.0
75,2023-04-01,720533.1986,210_310,ARIMA,1184231.2908076919,907541.0
76,2023-05-01,573687.2145,210_310,ARIMA,2030026.428044281,502114.0
77,2023-06-01,3545404.2228,210_310,ARIMA,1310083.4522321098,1877694.0
78,2023-07-01,3060209.564,210_310,ARIMA,107516.85780058843,489226.0
79,2023-08-01,-69568.6746,210_310,ARIMA,,471029.0
80,2023-09-01,139481.7381,210_310,ARIMA,,2612354.0
81,2023-10-01,230068.9889,210_310,ARIMA,,1948693.0
82,2023-11-01,1848859.8615,210_310,ARIMA,,917649.0
83,2023-12-01,522902.2901,210_310,ARIMA,,987538.0
84,2023-01-01,969611.6856,220_155,ExtraTreesRegressor,383548.07999999996,571537.0
85,2023-02-01,591776.2595,220_155,ExtraTreesRegressor,-152305.68999999997,232217.0
86,2023-03-01,164814.2265,220_155,ExtraTreesRegressor,399579.3499999999,750950.0
87,2023-04-01,-42545.6167,220_155,ExtraTreesRegressor,2702366.44,109094.0
