,MONTH,PRED,DEP_ENT,NET_SALES,BUDGET_AMOUNT
134,2023-03-01,24949.0544324011,250_165,4612.897547683965,43345.0
135,2023-04-01,24949.0544324011,250_165,71894.3372427524,48558.0
136,2023-05-01,24949.0544324011,250_165,61415.92658509502,51334.0
137,2023-06-01,24949.0544324011,250_165,85823.0045910555,57321.0
138,2023-07-01,24949.0544324011,250_165,71346.73336019741,43424.0
139,2023-08-01,24949.0544324011,250_165,,43345.0
140,2023-09-01,24949.0544324011,250_165,,43345.0
141,2023-10-01,24949.0544324011,250_165,,47260.0
142,2023-11-01,24949.0544324011,250_165,,60919.0
143,2023-12-01,24949.0544324011,250_165,,43578.0
144,2023-01-01,415687.3350170298,250_310,182222.07932614823,354587.0
145,2023-02-01,276250.64804241696,250_310,210454.7331918744,393009.0
146,2023-03-01,342108.8778910869,250_310,168508.59034033061,519049.0
147,2023-04-01,218549.23607014288,250_310,218007.09583283876,535490.0
148,2023-05-01,243788.19881511515,250_310,229656.41761772186,408393.0
149,2023-06-01,464664.15927118674,250_310,1108604.900663376,521029.0
150,2023-07-01,150206.6341180078,250_310,201632.07090723148,330669.0
151,2023-08-01,96838.82019950164,250_310,,317266.0
152,2023-09-01,215613.71027594391,250_310,,531251.0
153,2023-10-01,1262520.0121185514,250_310,,1250166.0
154,2023-11-01,569328.0760563416,250_310,,658167.0
155,2023-12-01,229738.2576379198,250_310,,249998.0
156,2023-01-01,3936.7608889267544,260_155,2914.999999999999,2800.0
157,2023-02-01,3936.763429140628,260_155,3338.9900000000002,2800.0
158,2023-03-01,3936.765723528932,260_155,6141.58,2800.0
159,2023-04-01,3936.7682637463004,260_155,3216.7200000000007,2800.0
160,2023-05-01,3936.7707220229236,260_155,4063.0999999999995,2800.0
161,2023-06-01,3936.773262243909,260_155,2607.6099999999997,2800.0
162,2023-07-01,3936.775720524027,260_155,2526.1099999999997,2800.0
163,2023-08-01,3936.778260748626,260_155,,2800.0
164,2023-09-01,3936.7808009750593,260_155,,2800.0
165,2023-10-01,3936.7832592604545,260_155,,2800.0
166,2023-11-01,3936.785799490505,260_155,,2800.0
167,2023-12-01,3936.7882577793976,260_155,,2800.0
