,ds,yhat1,yhat1 5.0%,yhat1 95.0%,ID,y,BUDGET_AMOUNT
76,2023-05-01,564136.875,-160554.03125,1671358.375,210_310,2030026.4280442812,502114.0
77,2023-06-01,2742998.5,1656252.375,4785136.0,210_310,1310083.4522321098,1877694.0
78,2023-07-01,713803.75,-509976.9375,3212710.0,210_310,107516.8578005884,489226.0
79,2023-08-01,651121.75,-197641.75,2360967.5,210_310,,471029.0
80,2023-09-01,696916.75,-517433.21875,3477031.5,210_310,,2612354.0
81,2023-10-01,1052380.125,554105.125,2638846.5,210_310,,1948693.0
82,2023-11-01,1068355.125,-395305.0625,2859664.5,210_310,,917649.0
83,2023-12-01,1054040.625,622768.125,2783118.0,210_310,,987538.0
84,2023-01-01,2954266.75,952465.25,4860566.0,220_155,383548.08,571537.0
85,2023-02-01,808300.75,168739.375,2016362.5,220_155,-152305.69,232217.0
86,2023-03-01,653179.625,-667918.9375,2737085.25,220_155,399579.35,750950.0
87,2023-04-01,-48798.75,-554395.25,788678.75,220_155,2702366.44,109094.0
88,2023-05-01,41828.875,-667563.0625,3336601.25,220_155,1286710.9700000002,673519.0
89,2023-06-01,-351272.25,-575826.4375,105507.25,220_155,98452.84999999995,212390.0
90,2023-07-01,1405001.25,-679130.25,3922420.75,220_155,1561945.41,33860.0
91,2023-08-01,957688.25,-309543.0,3706888.25,220_155,,2515985.0
92,2023-09-01,-696586.625,-1447621.25,1538887.0,220_155,,449519.0
93,2023-10-01,2246158.75,163273.125,5494701.0,220_155,,3600383.0
94,2023-11-01,-770779.0,-1660901.875,319046.75,220_155,,2035012.0
95,2023-12-01,-187376.5,-703068.75,904964.0,220_155,,130069.0
96,2023-01-01,-216225.421875,-331435.09375,-148947.15625,220_310,34080.10923315374,114912.0
97,2023-02-01,-107260.46875,-212318.234375,114859.375,220_310,-3809.2797369994005,
98,2023-03-01,-58908.1875,-58908.1875,-25357.34375,220_310,-14360.6408839779,35095.0
