,DEPARTMENT,ENTITY,DEP_ENT,BUDGET_AMOUNT,MONTH
131,160,155,160_155,4376736,2022-04-01
132,250,165,250_165,43345,2023-08-01
133,200,155,200_155,4650000,2017-01-01
134,200,155,200_155,3900000,2017-03-01
135,210,165,210_165,421641,2017-03-01
136,170,155,170_155,3724108,2022-06-01
137,220,155,220_155,5847179,2019-01-01
138,200,310,200_310,290286,2023-06-01
139,250,310,250_310,289374,2019-09-01
140,210,155,210_155,5513533,2020-08-01
141,170,155,170_155,4264000,2019-05-01
142,210,155,210_155,7314180,2020-12-01
143,240,155,240_155,4818571,2020-01-01
144,210,155,210_155,11399967,2016-02-01
145,210,165,210_165,629943,2017-08-01
146,210,165,210_165,1250432,2018-12-01
147,170,155,170_155,3962499,2023-06-01
148,210,165,210_165,193983,2023-03-01
149,240,155,240_155,4480200,2017-07-01
150,210,155,210_155,13781362,2017-05-01
151,210,310,210_310,890318,2020-05-01
152,210,310,210_310,1330384,2020-09-01
153,210,155,210_155,8891519,2019-04-01
154,250,310,250_310,362586,2019-04-01
155,160,155,160_155,2631161,2016-03-01
156,220,310,220_310,9438,2019-12-01
157,250,310,250_310,541328,2018-06-01
158,220,310,220_310,422205,2022-01-01
159,200,155,200_155,3616168,2016-11-01
160,200,155,200_155,1759854,2020-08-01
161,260,155,260_155,4000,2020-04-01
162,220,155,220_155,41902,2018-08-01
163,160,155,160_155,2751846,2023-08-01
164,260,155,260_155,4000,2020-07-01
165,170,155,170_155,4091479,2020-09-01
166,210,310,210_310,1204952,2019-12-01
167,200,155,200_155,2588532,2018-09-01
168,250,155,250_155,7029573,2022-12-01
169,220,155,220_155,232217,2023-02-01
170,170,155,170_155,3243643,2020-12-01
171,250,155,250_155,9307067,2022-09-01
172,200,155,200_155,2819310,2016-05-01
173,250,155,250_155,4203457,2020-04-01
174,200,155,200_155,3531184,2022-04-01
175,220,310,220_310,281,2023-06-01
176,250,155,250_155,6184842,2022-07-01
177,210,310,210_310,1681287,2020-11-01
178,220,155,220_155,263990,2016-12-01
179,210,165,210_165,697185,2019-09-01
180,210,165,210_165,421641,2017-02-01
181,210,165,210_165,537239,2023-12-01
182,240,155,240_155,5904694,2022-04-01
183,250,155,250_155,6925790,2018-08-01
184,200,310,200_310,213687,2020-04-01
185,240,155,240_155,12518042,2023-06-01
186,160,155,160_155,1838000,2020-01-01
187,200,155,200_155,1750610,2019-06-01
188,260,155,260_155,2800,2023-12-01
189,200,310,200_310,306005,2022-08-01
190,220,155,220_155,4568859,2018-10-01
191,220,310,220_310,38386,2020-08-01
192,240,155,240_155,3354390,2016-09-01
193,240,155,240_155,3384600,2017-12-01
194,260,155,260_155,2800,2023-03-01
195,210,165,210_165,480285,2019-02-01
196,160,155,160_155,4325784,2020-11-01
197,200,310,200_310,524171,2019-12-01
198,250,155,250_155,4676158,2019-03-01
199,200,155,200_155,1731000,2020-01-01
200,220,155,220_155,98415,2022-12-01
201,210,310,210_310,1050635,2019-02-01
202,250,310,250_310,693555,2022-07-01
203,240,155,240_155,5298000,2017-05-01
204,200,310,200_310,234064,2020-10-01
205,210,165,210_165,538232,2023-09-01
206,200,310,200_310,319648,2020-06-01
207,210,165,210_165,580290,2023-11-01
208,220,155,220_155,212390,2023-06-01
209,210,155,210_155,6155140,2017-01-01
210,210,155,210_155,11509601,2016-03-01
211,220,155,220_155,33860,2023-07-01
212,210,165,210_165,521186,2018-01-01
213,210,165,210_165,595958,2016-04-01
214,260,155,260_155,4000,2020-08-01
215,210,155,210_155,16056437,2018-04-01
216,220,155,220_155,312082,2018-06-01
217,210,155,210_155,22037705,2017-12-01
218,220,155,220_155,1855550,2019-04-01
219,210,310,210_310,-233676,2020-02-01
220,170,155,170_155,4209000,2019-07-01
221,210,310,210_310,2287946,2022-09-01
222,240,155,240_155,4966309,2019-09-01
223,200,310,200_310,147938,2019-11-01
224,240,155,240_155,5289502,2018-01-01
225,250,155,250_155,6290006,2017-12-01
226,220,155,220_155,218961,2022-04-01
227,160,155,160_155,2467035,2016-10-01
228,170,155,170_155,3805106,2018-05-01
229,160,155,160_155,5131016,2020-10-01
230,200,155,200_155,2133855,2020-05-01
231,210,310,210_310,1371544,2018-11-01
232,210,155,210_155,11329422,2017-07-01
233,170,155,170_155,2718425,2017-12-01
234,200,310,200_310,753364,2022-11-01
235,210,165,210_165,338659,2023-02-01
236,210,165,210_165,488311,2019-06-01
237,220,155,220_155,196747,2019-10-01
238,210,165,210_165,228756,2019-01-01
239,210,165,210_165,1328454,2019-04-01
240,240,155,240_155,5471171,2020-07-01
241,170,155,170_155,4066182,2023-10-01
242,250,310,250_310,564651,2018-02-01
243,200,310,200_310,259441,2023-03-01
244,220,155,220_155,5176410,2017-09-01
245,160,155,160_155,6012025,2018-08-01
246,250,155,250_155,7872216,2023-05-01
247,200,310,200_310,95266,2018-02-01
248,200,155,200_155,7370177,2018-12-01
249,200,155,200_155,2607085,2018-08-01
250,210,165,210_165,479236,2022-12-01
251,220,310,220_310,261010,2023-04-01
252,210,165,210_165,721359,2022-11-01
253,210,310,210_310,1905506,2018-04-01
254,200,155,200_155,4450498,2018-04-01
255,220,155,220_155,4882133,2018-02-01
256,210,310,210_310,502114,2023-05-01
257,210,165,210_165,718605,2016-10-01
258,250,155,250_155,5448229,2019-05-01
259,250,310,250_310,245685,2020-08-01
260,250,310,250_310,538074,2019-11-01
261,260,155,260_155,5000,2022-06-01
262,250,155,250_155,9435191,2018-03-01
263,200,310,200_310,114294,2016-01-01
264,240,155,240_155,3915100,2017-01-01
265,250,155,250_155,3793840,2020-05-01
266,210,155,210_155,3582566,2020-02-01
267,260,155,260_155,5000,2022-12-01
268,210,310,210_310,745875,2019-07-01
269,160,155,160_155,2726535,2020-05-01
270,220,310,220_310,36600,2020-11-01
271,200,155,200_155,3602452,2022-02-01
272,250,310,250_310,238813,2020-09-01
273,210,155,210_155,9372776,2018-10-01
274,240,155,240_155,4504843,2019-11-01
275,210,165,210_165,704458,2016-09-01
276,210,165,210_165,795803,2023-10-01
277,220,310,220_310,114912,2023-01-01
278,210,155,210_155,5308974,2023-05-01
279,160,155,160_155,1799490,2020-07-01
280,220,155,220_155,232619,2020-06-01
281,250,155,250_155,9566028,2023-06-01
282,160,155,160_155,3443197,2018-05-01
283,170,155,170_155,3046953,2018-01-01
284,200,310,200_310,352350,2020-09-01
285,200,310,200_310,479747,2023-11-01
286,260,155,260_155,2800,2023-07-01
287,160,155,160_155,3886008,2022-10-01
288,260,155,260_155,4000,2020-10-01
289,250,310,250_310,803578,2022-06-01
290,220,155,220_155,316008,2017-10-01
291,210,155,210_155,5836549,2019-12-01
292,210,155,210_155,6827909,2022-01-01
293,210,165,210_165,1141086,2019-11-01
294,240,155,240_155,5295121,2023-11-01
295,200,310,200_310,281579,2020-05-01
296,210,165,210_165,836169,2016-02-01
297,210,155,210_155,11690688,2016-11-01
298,210,165,210_165,129184,2022-01-01
299,250,310,250_310,908381,2019-10-01
300,220,155,220_155,-9546,2020-12-01
301,210,310,210_310,2756565,2022-08-01
302,210,155,210_155,14495808,2017-11-01
303,200,155,200_155,2515260,2016-04-01
304,250,310,250_310,607275,2022-05-01
305,170,155,170_155,4015308,2023-12-01
306,220,155,220_155,4505609,2018-07-01
307,170,155,170_155,3217700,2017-07-01
308,210,310,210_310,836109,2020-03-01
309,250,165,250_165,48558,2023-04-01
310,220,155,220_155,492436,2019-06-01
311,210,155,210_155,8030498,2017-09-01
312,210,155,210_155,7108739,2023-04-01
313,240,155,240_155,5831597,2022-07-01
314,220,155,220_155,52385,2018-05-01
315,250,165,250_165,47260,2023-10-01
316,250,155,250_155,4720109,2019-08-01
317,210,310,210_310,3693341,2017-06-01
318,250,155,250_155,5706559,2023-07-01
319,210,155,210_155,4510260,2019-06-01
320,210,155,210_155,2023978,2020-10-01
321,240,155,240_155,5243494,2022-01-01
322,220,155,220_155,501264,2016-08-01
323,220,155,220_155,1320990,2016-06-01
324,210,155,210_155,8863824,2022-03-01
325,160,155,160_155,3952611,2022-05-01
326,240,155,240_155,4685014,2016-03-01
327,210,155,210_155,5004554,2023-07-01
328,250,155,250_155,5945913,2016-09-01
329,160,155,160_155,1647798,2023-04-01
330,170,155,170_155,3740000,2016-07-01
331,200,310,200_310,395083,2022-01-01
332,240,155,240_155,10834189,2023-05-01
333,220,155,220_155,1837296,2016-02-01
334,250,165,250_165,43578,2023-12-01
335,220,310,220_310,360912,2020-02-01
336,250,155,250_155,8423522,2018-07-01
337,210,155,210_155,6073728,2018-01-01
338,220,155,220_155,899766,2022-10-01
339,210,310,210_310,2823736,2017-09-01
340,250,155,250_155,4356875,2020-03-01
341,210,310,210_310,1631342,2018-07-01
342,200,310,200_310,623782,2022-05-01
343,160,155,160_155,3915912,2022-11-01
344,260,155,260_155,2800,2023-08-01
345,210,310,210_310,594733,2019-01-01
346,160,155,160_155,378346,2020-02-01
347,250,310,250_310,535490,2023-04-01
348,170,155,170_155,3641700,2017-02-01
349,220,310,220_310,34374,2018-01-01
350,210,310,210_310,2055008,2019-11-01
351,210,165,210_165,1708272,2018-11-01
352,200,155,200_155,2467579,2020-09-01
353,250,310,250_310,653801,2022-08-01
354,210,155,210_155,5812184,2023-08-01
355,250,310,250_310,459505,2017-03-01
356,260,155,260_155,2800,2023-04-01
357,250,155,250_155,11681144,2023-09-01
358,200,155,200_155,2658984,2016-10-01
359,170,155,170_155,3203050,2017-06-01
360,240,155,240_155,5769480,2022-09-01
361,170,155,170_155,3762323,2020-06-01
362,170,155,170_155,3276050,2017-04-01
363,250,310,250_310,632183,2018-12-01
364,250,155,250_155,8778778,2022-04-01
365,210,165,210_165,527468,2022-08-01
366,160,155,160_155,1821751,2022-01-01
367,220,155,220_155,1375357,2018-03-01
368,260,155,260_155,5000,2022-09-01
369,240,155,240_155,4923248,2019-10-01
370,200,155,200_155,3205901,2018-10-01
371,250,310,250_310,549910,2017-10-01
372,170,155,170_155,3073050,2017-05-01
373,220,310,220_310,414,2022-12-01
374,160,155,160_155,4241541,2018-03-01
375,170,155,170_155,3043050,2017-08-01
376,200,155,200_155,5688306,2018-03-01
377,170,155,170_155,4148059,2023-01-01
378,250,310,250_310,359718,2017-09-01
379,240,155,240_155,5097355,2019-08-01
380,240,155,240_155,3560215,2020-12-01
381,250,155,250_155,5356667,2023-08-01
382,200,310,200_310,168889,2019-06-01
383,220,155,220_155,2035012,2023-11-01
384,250,310,250_310,372241,2017-02-01
385,200,310,200_310,572828,2022-04-01
386,210,155,210_155,13599385,2020-04-01
387,210,310,210_310,907541,2023-04-01
388,200,310,200_310,316272,2019-01-01
389,210,165,210_165,915202,2016-12-01
390,200,310,200_310,483563,2022-02-01
391,250,155,250_155,5207904,2023-01-01
392,200,155,200_155,9520000,2017-12-01
393,200,155,200_155,3025026,2016-01-01
394,220,310,220_310,7075,2019-05-01
395,210,165,210_165,680000,2017-11-01
396,170,155,170_155,3797279,2018-03-01
397,250,155,250_155,4662306,2020-07-01
398,210,165,210_165,500238,2019-05-01
399,240,155,240_155,5515940,2022-11-01
400,160,155,160_155,1367350,2019-01-01
401,160,155,160_155,2440656,2016-08-01
402,220,155,220_155,43235,2019-07-01
403,210,310,210_310,1877694,2023-06-01
404,240,155,240_155,2894500,2016-11-01
405,250,310,250_310,375515,2019-08-01
406,170,155,170_155,2773050,2017-09-01
407,220,310,220_310,7713,2019-09-01
408,200,310,200_310,95033,2016-04-01
409,200,310,200_310,110285,2016-07-01
410,250,165,250_165,44682,2023-01-01
411,240,155,240_155,5444758,2022-12-01
412,210,155,210_155,1667988,2020-05-01
413,200,155,200_155,2918929,2016-07-01
414,210,310,210_310,3183960,2020-06-01
415,210,155,210_155,11326527,2016-08-01
