,DEPARTMENT,ENTITY,DEP_ENT,BUDGET_AMOUNT,MONTH
942,250,155,250_155,8149812,2019-07-01
943,210,155,210_155,3301000,2020-01-01
944,200,155,200_155,4178062,2023-12-01
945,240,155,240_155,3972251,2016-08-01
946,240,155,240_155,5902115,2022-05-01
947,200,310,200_310,262986,2023-05-01
948,220,155,220_155,249910,2017-08-01
949,220,155,220_155,449519,2023-09-01
950,200,155,200_155,2619470,2016-02-01
951,200,155,200_155,6650000,2017-11-01
952,170,155,170_155,3720008,2022-08-01
953,240,155,240_155,4234979,2018-10-01
954,200,310,200_310,485429,2022-07-01
955,200,155,200_155,2980330,2023-03-01
956,160,155,160_155,3641536,2020-08-01
957,250,155,250_155,9322597,2016-05-01
958,170,155,170_155,4145828,2019-01-01
959,260,155,260_155,5000,2022-03-01
960,220,310,220_310,483380,2019-11-01
961,210,155,210_155,2550869,2020-07-01
962,240,155,240_155,5313648,2023-12-01
963,210,165,210_165,554383,2020-02-01
964,200,310,200_310,342417,2022-06-01
965,200,155,200_155,1172905,2019-07-01
966,210,155,210_155,3995637,2019-05-01
967,170,155,170_155,4138000,2019-08-01
968,240,155,240_155,5614292,2020-05-01
969,210,155,210_155,9013019,2017-10-01
970,240,155,240_155,5780901,2022-08-01
971,250,155,250_155,5744694,2017-08-01
972,200,155,200_155,1516391,2020-03-01
973,200,155,200_155,1683431,2019-02-01
974,210,165,210_165,304951,2020-06-01
975,210,310,210_310,2612354,2023-09-01
